PF_PJ	CD_PARTIC	CNPJ	DT_REG	LOGRADOURO	COMPL	DS_PARTIC	DT_CONST	BAIRRO	CEP	OFICIO_REG	REG_CART_TITULO	MUN	VL_PATRIM_LIQ	UF	DDD	DT_PATRIM_LIQ	TEL	CONTROLE_ACIONARIO	ADM	FAX	CNPJ_ADM	DT_CANC	SIT	DT_INI_SIT	OFICIO_CANC	DENOM_SOCIAL	MOTIVO_CANC	EMAIL_ADM	DENOM_COMERC	DIRETOR
PJ	43	5359018000106	14/11/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	31/10/2002			1588	7835985		126972.68			31/12/2002						15/04/2003	CANCELADA	15/04/2003		ABN AMRO FMP-FGTS BANCO DO BRASIL - MIGRAÇÃO	CANCELAMENTO A PEDIDO		ABN AMRO FMP-FGTS BANCO DO BRASIL - MIGRAÇÃO	
PJ	43	4889805000199	01/03/2002 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	14/02/2002			163	7398037		0.00			10/11/2006						29/09/2006	CANCELADA	29/09/2006		ABN AMRO FMP-FGTS VALE DO RIO DOCE MIGRAÇÃO	INCORPORAÇÃO		ABN AMRO FMP-FGTS VALE DO RIO DOCE MIGRAÇÃO	
PJ	43	3919892000117	17/08/2000 00:00:00	ALAMEDA SANTOS, 466	4° ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	07/07/2000	CERQUEIRA CÉSAR	1418000	1661	607948	SÃO PAULO	118174091.09	SP	11	17/05/2019	31755000		BANCO ALFA DE INVESTIMENTO SA	31755270	60770336000165		EM FUNCIONAMENTO NORMAL	17/08/2000		ALFA - I  FMP - FGTS  PETROBRAS		dri@bancoalfa.com.br	ALFA - I  FMP - FGTS  PETROBRAS	ADILSON AUGUSTO MARTINS JÚNIOR
PJ	43	4892370000131	27/03/2002 00:00:00	ALAMEDA SANTOS, 466	4° ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	15/02/2002	CERQUEIRA CÉSAR	1418000	175	956763	SÃO PAULO	2512889.90	SP	11	17/05/2019	31755000		BANCO ALFA DE INVESTIMENTO SA	31755270	60770336000165		EM FUNCIONAMENTO NORMAL	27/03/2002		ALFA I FMP-FGTS VALE DO RIO DOCE		dri@bancoalfa.com.br	ALFA I FMP-FGTS VALE DO RIO DOCE	ADILSON AUGUSTO MARTINS JÚNIOR
PJ	43	4892367000118	27/03/2002 00:00:00	ALAMEDA SANTOS, 466	4° ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	15/02/2002	CERQUEIRA CÉSAR	1418000	173	956762	SÃO PAULO	31900653.58	SP	11	17/05/2019	31755000		BANCO ALFA DE INVESTIMENTO SA	31755270	60770336000165		EM FUNCIONAMENTO NORMAL	27/03/2002		ALFA II FMP-FGTS VALE DO RIO DOCE		dri@bancoalfa.com.br	ALFA II FMP-FGTS VALE DO RIO DOCE	ADILSON AUGUSTO MARTINS JÚNIOR
PJ	43	3917545000155	17/08/2000 00:00:00	ALAMEDA SANTOS, 466	4° ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	11/07/2000	CERQUEIRA CÉSAR	1418000	1703	811083	SÃO PAULO	11384525.30	SP	11	17/05/2019	31755000		BANCO ALFA DE INVESTIMENTO SA	31755270	60770336000165		EM FUNCIONAMENTO NORMAL	17/08/2000		ALFA III FMP FGTS PETROBRAS		dri@bancoalfa.com.br	ALFA III PETROBRAS	ADILSON AUGUSTO MARTINS JÚNIOR
PJ	43	4892365000129	27/03/2002 00:00:00	ALAMEDA SANTOS, 466	4° ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	15/02/2002	CERQUEIRA CÉSAR	1418000	172	956761	SÃO PAULO	5991127.72	SP	11	17/05/2019	31755000		BANCO ALFA DE INVESTIMENTO SA	31755270	60770336000165		EM FUNCIONAMENTO NORMAL	27/03/2002		ALFA III FMP-FGTS VALE DO RIO DOCE		dri@bancoalfa.com.br	ALFA III FMP-FGTS VALE DO RIO DOCE	ADILSON AUGUSTO MARTINS JÚNIOR
PJ	43	3925702000174	17/08/2000 00:00:00	ALAMEDA SANTOS, 466	4° ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	12/07/2000	CERQUEIRA CÉSAR	1418000	1718	739129	SÃO PAULO	8177424.32	SP	11	17/05/2019	31755000		BANCO ALFA DE INVESTIMENTO SA	31755270	60770336000165		EM FUNCIONAMENTO NORMAL	17/08/2000		ALFA VII FMP FGTS PETROBRÁS		dri@bancoalfa.com.br	ALFA  VII  FMP - FGTS  PETROBRAS	ADILSON AUGUSTO MARTINS JÚNIOR
PJ	43	3925836000195	17/08/2000 00:00:00	ALAMEDA SANTOS, 466	4° ANDAR	FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	12/07/2000	CERQUEIRA CÉSAR	1418000	1717	739131	SÃO PAULO	29128147.32	SP	11	17/05/2019	31755000		BANCO ALFA DE INVESTIMENTO SA	31755270	60770336000165		EM FUNCIONAMENTO NORMAL	17/08/2000		ALFA VIII  FMP - FGTS  PETROBRAS		dri@bancoalfa.com.br	ALFA VIII  FMP - FGTS  PETROBRAS	ADILSON AUGUSTO MARTINS JÚNIOR
PJ	43	3918509000106	17/08/2000 00:00:00			FDOS MÚTUOS DE PRIVATIZAÇÃO - FGTS	06/07/2000			1636	6391050		4177691.66			31/12/2002						11/12/2003	CANCELADA	11/12/2003		BANCOCIDADE  FMP - FGTS  PETROBRAS	INCORPORAÇÃO		BANCOCIDADE  FMP - FGTS  PETROBRAS	
